canonical_smiles,molecule_chembl_id,pchembl_value,relation,standard_relation,standard_type,target_organism,type,value
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1.Cl.Cl,CHEMBL545315,8.13,=,=,IC50,Homo sapiens,IC50,7.4
COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cn1,CHEMBL111365,5.89,=,=,IC50,Homo sapiens,IC50,1.3
CNc1ncc2ncnc(Nc3cccc(C)c3)c2n1,CHEMBL52591,8.37,=,=,IC50,Homo sapiens,IC50,4.3
COC(=O)c1cc(NCc2ccccc2O)ccc1O,CHEMBL132907,4.70,=,=,IC50,Homo sapiens,IC50,20.0
CCOC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL422292,8.82,=,=,IC50,Homo sapiens,IC50 app,1.5
CCOC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL422292,7.29,=,=,IC50,Homo sapiens,IC50,51.0
COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1C,CHEMBL113023,6.60,=,=,IC50,Homo sapiens,IC50,0.25
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)c1,CHEMBL417420,8.54,=,=,IC50,Homo sapiens,IC50,2.9
Cn1c(SSc2c(C(=O)Nc3ccccc3)c3ccccc3n2C)c(C(=O)Nc2ccccc2)c2ccccc21,CHEMBL304414,5.00,=,=,IC50,Homo sapiens,IC50,10.0
CN1CCN(CCCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,CHEMBL106232,5.35,=,=,IC50,Homo sapiens,IC50,4.5
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(CO)c3)nc21,CHEMBL327127,7.05,=,=,IC50,Homo sapiens,IC50,0.09
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,CHEMBL294475,9.09,=,=,IC50,Homo sapiens,IC50,0.81
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,CHEMBL294475,8.51,=,=,IC50,Homo sapiens,IC50,3.1
O=C(CCc1c(SSc2[nH]c3ccccc3c2CCC(=O)NCc2ccccc2)[nH]c2ccccc12)NCc1ccccc1,CHEMBL293261,6.07,=,=,IC50,Homo sapiens,IC50,0.85
CNc1ncc2ncnc(Nc3ccccc3)c2n1,CHEMBL53310,7.89,=,=,IC50,Homo sapiens,IC50,13.0
O=C1NC(=O)c2cc(Nc3ccc(O)cc3)c(Nc3ccc(O)cc3)cc21,CHEMBL267019,5.60,=,=,IC50,Homo sapiens,IC50,2.5
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL285063,9.15,=,=,IC50,Homo sapiens,IC50 app,0.7
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL285063,8.57,=,=,IC50,Homo sapiens,IC50,2.7
C/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL136404,9.30,=,=,IC50,Homo sapiens,IC50 app,0.5
C/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL136404,8.11,=,=,IC50,Homo sapiens,IC50,7.7
Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cc(C#N)ccc3n2C)c(C(=O)Nc2ccccc2)c2cc(C#N)ccc21,CHEMBL291979,4.27,=,=,IC50,Homo sapiens,IC50,54.1
Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cccc(O)c3n2C)c(C(=O)Nc2ccccc2)c2cccc(O)c21,CHEMBL62843,4.00,=,=,IC50,Homo sapiens,IC50,100.0
C=CC(=O)N(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL334697,9.77,=,=,IC50,Homo sapiens,IC50 app,0.17
C=CC(=O)N(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL334697,7.89,=,=,IC50,Homo sapiens,IC50,13.0
CCN(CC)CCCNC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL434827,9.14,=,=,IC50,Homo sapiens,IC50 app,0.73
CCN(CC)CCCNC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL434827,7.68,=,=,IC50,Homo sapiens,IC50,21.0
CCN(CC)CCCNC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL434827,7.68,=,=,IC50,Homo sapiens,IC50,21.0
Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cc([N+](=O)[O-])ccc3n2C)c(C(=O)Nc2ccccc2)c2cc([N+](=O)[O-])ccc21,CHEMBL64430,5.30,=,=,IC50,Homo sapiens,IC50,5.0
C=CC(=O)N(CCCN1CCOCC1)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL137082,8.57,=,=,IC50,Homo sapiens,IC50 app,2.7
C=CC(=O)N(CCCN1CCOCC1)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL137082,6.81,=,=,IC50,Homo sapiens,IC50,156.0
COc1cc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc(OC)c1,CHEMBL324926,6.48,=,=,IC50,Homo sapiens,IC50,0.33
Clc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,CHEMBL53311,7.09,=,=,IC50,Homo sapiens,IC50,82.0
